Model,Precision_mean,Recall_mean,F1_mean,ROC_AUC_mean
NaiveBayes,0.9983333333333334,0.8085548098434003,0.8933025098604446,0.9873492459806886
LogisticRegression,0.9862048190790015,0.7697002237136464,0.8645154892255228,0.9905052450997438
LinearSVM,0.9827189556367267,0.9062729306487697,0.9428604067523789,Not Applicable
HardVoting,1.0,0.7268635346756153,0.8415796807384798,Not Applicable
SoftVoting,0.9932730356133408,0.8112393736017898,0.892914485754361,0.990921598219564
Stacking,0.9837258616662504,0.8928769574944072,0.9360017928518877,0.9904654820275643
AdaBoost_Stumps,0.9888544891640867,0.23690380313199108,0.3815774649348713,0.8971002121222659
